anio,vab_pb,provincia,share,geocodigo,geocodigoFundar,geonombreFundar
2015,7.05952530889625,Corrientes,0.315248954719153,AR-W,AR-W,Corrientes
2016,7.03680979343982,Corrientes,0.314662158779058,AR-W,AR-W,Corrientes
2017,8.76492969096544,Corrientes,0.342911511510273,AR-W,AR-W,Corrientes
2018,9.48541289295259,Corrientes,0.35201417280589,AR-W,AR-W,Corrientes
2019,8.04178119024955,Corrientes,0.331932433234986,AR-W,AR-W,Corrientes
2020,6.15848332214113,Corrientes,0.305298263886907,AR-W,AR-W,Corrientes
2021,7.96070128082776,Corrientes,0.331452912562403,AR-W,AR-W,Corrientes
2022,8.29520246658014,Corrientes,0.338427924548252,AR-W,AR-W,Corrientes
2023,7.44216273367291,Corrientes,0.324540455011324,AR-W,AR-W,Corrientes
2004,3.42805189680506,Chaco,0.237647303146638,AR-H,AR-H,Chaco
2005,3.08383150747527,Chaco,0.231584813685398,AR-H,AR-H,Chaco
2006,6.30504901969424,Chaco,0.295857690378048,AR-H,AR-H,Chaco
2007,5.38519712937892,Chaco,0.281220877416985,AR-H,AR-H,Chaco
2008,5.93824924176621,Chaco,0.294457942972264,AR-H,AR-H,Chaco
2009,3.99410032553868,Chaco,0.247377833518852,AR-H,AR-H,Chaco
2010,4.1569131565503,Chaco,0.250619486049309,AR-H,AR-H,Chaco
2011,4.41908058660158,Chaco,0.253207550333601,AR-H,AR-H,Chaco
2012,4.72478044527701,Chaco,0.269133646620047,AR-H,AR-H,Chaco
2013,6.77612053910392,Chaco,0.314076399866719,AR-H,AR-H,Chaco
2014,6.92248490101391,Chaco,0.316905711271899,AR-H,AR-H,Chaco
2015,7.05952530889625,Chaco,0.315248954719153,AR-H,AR-H,Chaco
2016,7.03680979343982,Chaco,0.314662158779058,AR-H,AR-H,Chaco
2017,8.76492969096544,Chaco,0.342911511510273,AR-H,AR-H,Chaco
2018,9.48541289295259,Chaco,0.35201417280589,AR-H,AR-H,Chaco
2019,8.04178119024955,Chaco,0.331932433234986,AR-H,AR-H,Chaco
2020,6.15848332214113,Chaco,0.305298263886907,AR-H,AR-H,Chaco
2021,7.96070128082776,Chaco,0.331452912562403,AR-H,AR-H,Chaco
2022,8.29520246658014,Chaco,0.338427924548252,AR-H,AR-H,Chaco
2023,7.44216273367291,Chaco,0.324540455011324,AR-H,AR-H,Chaco
2004,362.679851092003,Chubut,25.1425273339553,AR-U,AR-U,Chubut
2005,326.712851354678,Chubut,24.5349769033076,AR-U,AR-U,Chubut
2006,486.639882540335,Chubut,22.8350566735499,AR-U,AR-U,Chubut
2007,432.871003232564,Chubut,22.6049966998092,AR-U,AR-U,Chubut
2008,406.006627992702,Chubut,20.1325124029786,AR-U,AR-U,Chubut
2009,315.606421824264,Chubut,19.5473389529828,AR-U,AR-U,Chubut
2010,349.623889401794,Chubut,21.0787563205081,AR-U,AR-U,Chubut
2011,375.71076619141,Chubut,21.5277365680375,AR-U,AR-U,Chubut
2012,340.963874665829,Chubut,19.4220349532316,AR-U,AR-U,Chubut
2013,430.299806690604,Chubut,19.9446000656006,AR-U,AR-U,Chubut
2014,494.213290519675,Chubut,22.6246812512692,AR-U,AR-U,Chubut
2015,482.792428406624,Chubut,21.5594961051717,AR-U,AR-U,Chubut
2016,476.959199015426,Chubut,21.3279903276112,AR-U,AR-U,Chubut
2017,664.326359716031,Chubut,25.9905286383705,AR-U,AR-U,Chubut
2018,728.41917535182,Chubut,27.0324419570527,AR-U,AR-U,Chubut
2019,667.775902664682,Chubut,27.5631075980941,AR-U,AR-U,Chubut
2020,613.414217596153,Chubut,30.4091585345954,AR-U,AR-U,Chubut
2021,726.762563728498,Chubut,30.2595914595205,AR-U,AR-U,Chubut
2022,677.235015736325,Chubut,27.6298549348775,AR-U,AR-U,Chubut
2023,650.324323124333,Chubut,28.3595722486358,AR-U,AR-U,Chubut
2004,10.2841556904152,Entre Ríos,0.712941909439914,AR-E,AR-E,Entre Ríos
2005,9.2514945224258,Entre Ríos,0.694754441056193,AR-E,AR-E,Entre Ríos
2006,18.9151470590827,Entre Ríos,0.887573071134144,AR-E,AR-E,Entre Ríos
2007,16.1555913881367,Entre Ríos,0.843662632250955,AR-E,AR-E,Entre Ríos
2008,17.8147477252986,Entre Ríos,0.883373828916793,AR-E,AR-E,Entre Ríos
2009,11.982300976616,Entre Ríos,0.742133500556554,AR-E,AR-E,Entre Ríos
2010,12.4707394696509,Entre Ríos,0.751858458147928,AR-E,AR-E,Entre Ríos
2011,13.2572417598047,Entre Ríos,0.759622651000803,AR-E,AR-E,Entre Ríos
2012,14.174341335831,Entre Ríos,0.807400939860141,AR-E,AR-E,Entre Ríos
2013,20.3283616173118,Entre Ríos,0.942229199600157,AR-E,AR-E,Entre Ríos
2014,20.7674547030417,Entre Ríos,0.950717133815697,AR-E,AR-E,Entre Ríos
2015,21.1785759266888,Entre Ríos,0.945746864157458,AR-E,AR-E,Entre Ríos
2016,21.1104293803194,Entre Ríos,0.943986476337173,AR-E,AR-E,Entre Ríos
2017,26.2947890728963,Entre Ríos,1.02873453453082,AR-E,AR-E,Entre Ríos
2018,28.4562386788578,Entre Ríos,1.05604251841767,AR-E,AR-E,Entre Ríos
2019,24.1253435707486,Entre Ríos,0.995797299704959,AR-E,AR-E,Entre Ríos
2020,18.4754499664234,Entre Ríos,0.915894791660722,AR-E,AR-E,Entre Ríos
2021,23.8821038424833,Entre Ríos,0.994358737687208,AR-E,AR-E,Entre Ríos
2022,24.8856073997404,Entre Ríos,1.01528377364476,AR-E,AR-E,Entre Ríos
2023,22.3264882010187,Entre Ríos,0.973621365033973,AR-E,AR-E,Entre Ríos
2004,3.42805189680506,Formosa,0.237647303146638,AR-P,AR-P,Formosa
2005,3.08383150747527,Formosa,0.231584813685398,AR-P,AR-P,Formosa
2006,6.30504901969424,Formosa,0.295857690378048,AR-P,AR-P,Formosa
2007,5.38519712937892,Formosa,0.281220877416985,AR-P,AR-P,Formosa
2008,5.93824924176621,Formosa,0.294457942972264,AR-P,AR-P,Formosa
2009,3.99410032553868,Formosa,0.247377833518852,AR-P,AR-P,Formosa
2010,4.1569131565503,Formosa,0.250619486049309,AR-P,AR-P,Formosa
2011,4.41908058660158,Formosa,0.253207550333601,AR-P,AR-P,Formosa
2012,4.72478044527701,Formosa,0.269133646620047,AR-P,AR-P,Formosa
2013,6.77612053910392,Formosa,0.314076399866719,AR-P,AR-P,Formosa
2014,6.92248490101391,Formosa,0.316905711271899,AR-P,AR-P,Formosa
2015,7.05952530889625,Formosa,0.315248954719153,AR-P,AR-P,Formosa
2016,7.03680979343982,Formosa,0.314662158779058,AR-P,AR-P,Formosa
2017,8.76492969096544,Formosa,0.342911511510273,AR-P,AR-P,Formosa
2018,9.48541289295259,Formosa,0.35201417280589,AR-P,AR-P,Formosa
2019,8.04178119024955,Formosa,0.331932433234986,AR-P,AR-P,Formosa
2020,6.15848332214113,Formosa,0.305298263886907,AR-P,AR-P,Formosa
2021,7.96070128082776,Formosa,0.331452912562403,AR-P,AR-P,Formosa
2022,8.29520246658014,Formosa,0.338427924548252,AR-P,AR-P,Formosa
2023,7.44216273367291,Formosa,0.324540455011324,AR-P,AR-P,Formosa
2004,23.7326669778812,Neuquén,1.64525056024595,AR-Q,AR-Q,Neuquén
2005,21.3496027440595,Neuquén,1.60327947936045,AR-Q,AR-Q,Neuquén
2006,43.6503393671139,Neuquén,2.0482455487711,AR-Q,AR-Q,Neuquén
2007,37.2821339726233,Neuquén,1.94691376673297,AR-Q,AR-Q,Neuquén
2008,41.1109562891507,Neuquén,2.03855498980798,AR-Q,AR-Q,Neuquén
2009,27.6514637921908,Neuquén,1.71261577051513,AR-Q,AR-Q,Neuquén
2010,28.7786295453482,Neuquén,1.73505798034137,AR-Q,AR-Q,Neuquén
2011,30.5936348303186,Neuquén,1.75297534846339,AR-Q,AR-Q,Neuquén
2012,32.7100184673024,Neuquén,1.86323293813879,AR-Q,AR-Q,Neuquén
2013,46.9116037322579,Neuquén,2.17437507600036,AR-Q,AR-Q,Neuquén
2014,47.9248954685578,Neuquén,2.19396261649776,AR-Q,AR-Q,Neuquén
2015,48.8736367538971,Neuquén,2.18249276344029,AR-Q,AR-Q,Neuquén
2016,48.7163754930449,Neuquén,2.17843033000886,AR-Q,AR-Q,Neuquén
2017,60.6802824759146,Neuquén,2.37400277199419,AR-Q,AR-Q,Neuquén
2018,65.6682431050564,Neuquén,2.43702119634847,AR-Q,AR-Q,Neuquén
2019,55.6738697786507,Neuquén,2.29799376854991,AR-Q,AR-Q,Neuquén
2020,42.6356537686694,Neuquén,2.1136033653709,AR-Q,AR-Q,Neuquén
2021,55.1125473288076,Neuquén,2.2946740100474,AR-Q,AR-Q,Neuquén
2022,57.4283247686318,Neuquén,2.34296255456482,AR-Q,AR-Q,Neuquén
2023,51.522665079274,Neuquén,2.24681853469378,AR-Q,AR-Q,Neuquén
2004,44.8618040789825,Río Negro,3.1100132304296,AR-R,AR-R,Río Negro
2005,38.4306347999353,Río Negro,2.88600443259656,AR-R,AR-R,Río Negro
2006,61.4315735493701,Río Negro,2.88261096937312,AR-R,AR-R,Río Negro
2007,55.8048428641912,Río Negro,2.91418986108588,AR-R,AR-R,Río Negro
2008,60.3981664549551,Río Negro,2.99494331233776,AR-R,AR-R,Río Negro
2009,44.9848215543765,Río Negro,2.78617130025469,AR-R,AR-R,Río Negro
2010,47.5872654108027,Río Negro,2.86902698002109,AR-R,AR-R,Río Negro
2011,45.2281697381651,Río Negro,2.59151509936146,AR-R,AR-R,Río Negro
2012,45.0730770894136,Río Negro,2.5674593225991,AR-R,AR-R,Río Negro
2013,65.7183459420203,Río Negro,3.04607649458887,AR-R,AR-R,Río Negro
2014,69.3132619511661,Río Negro,3.17310458503022,AR-R,AR-R,Río Negro
2015,58.1134790275414,Río Negro,2.59510557961158,AR-R,AR-R,Río Negro
2016,74.0801510081394,Río Negro,3.3126119538759,AR-R,AR-R,Río Negro
2017,103.931988834484,Río Negro,4.06614503961593,AR-R,AR-R,Río Negro
2018,96.7050572850672,Río Negro,3.58883172831002,AR-R,AR-R,Río Negro
2019,74.4069685915175,Río Negro,3.07122085890218,AR-R,AR-R,Río Negro
2020,71.1339883209664,Río Negro,3.52636875051115,AR-R,AR-R,Río Negro
2021,99.4206846056107,Río Negro,4.13949403689359,AR-R,AR-R,Río Negro
2022,86.6577909631959,Río Negro,3.53546721249608,AR-R,AR-R,Río Negro
2023,56.9524696045452,Río Negro,2.48360336382428,AR-R,AR-R,Río Negro
2004,285.363465343342,Santa Cruz,19.7826228997958,AR-Z,AR-Z,Santa Cruz
2005,250.024871022889,Santa Cruz,18.7759814478177,AR-Z,AR-Z,Santa Cruz
2006,587.306192066452,Santa Cruz,27.558715719221,AR-Z,AR-Z,Santa Cruz
2007,514.014943136262,Santa Cruz,26.8424218912284,AR-Z,AR-Z,Santa Cruz
2008,537.101793614249,Santa Cruz,26.6330837382174,AR-Z,AR-Z,Santa Cruz
2009,405.347717354332,Santa Cruz,25.1055386615514,AR-Z,AR-Z,Santa Cruz
2010,400.680324609652,Santa Cruz,24.1569388731411,AR-Z,AR-Z,Santa Cruz
2011,482.973873498711,Santa Cruz,27.6737726292035,AR-Z,AR-Z,Santa Cruz
2012,542.135710325835,Santa Cruz,30.8812149840302,AR-Z,AR-Z,Santa Cruz
2013,673.869220564141,Santa Cruz,31.2341578864188,AR-Z,AR-Z,Santa Cruz
2014,659.820155351937,Santa Cruz,30.20602841802,AR-Z,AR-Z,Santa Cruz
2015,691.605821898058,Santa Cruz,30.8842312890768,AR-Z,AR-Z,Santa Cruz
2016,694.934677149723,Santa Cruz,31.0751110433904,AR-Z,AR-Z,Santa Cruz
2017,749.763990767774,Santa Cruz,29.3331164555904,AR-Z,AR-Z,Santa Cruz
2018,805.657015418382,Santa Cruz,29.898823704182,AR-Z,AR-Z,Santa Cruz
2019,675.370493987028,Santa Cruz,27.8765818294134,AR-Z,AR-Z,Santa Cruz
2020,447.040862207449,Santa Cruz,22.1614303359012,AR-Z,AR-Z,Santa Cruz
2021,555.943237739836,Santa Cruz,23.1473332396013,AR-Z,AR-Z,Santa Cruz
2022,600.56515765994,Santa Cruz,24.5018757145105,AR-Z,AR-Z,Santa Cruz
2023,618.365150693341,Santa Cruz,26.9658853952686,AR-Z,AR-Z,Santa Cruz
2004,10.2841556904152,Santa Fe,0.712941909439914,AR-S,AR-S,Santa Fe
2005,9.2514945224258,Santa Fe,0.694754441056193,AR-S,AR-S,Santa Fe
2006,18.9151470590827,Santa Fe,0.887573071134144,AR-S,AR-S,Santa Fe
2007,16.1555913881367,Santa Fe,0.843662632250955,AR-S,AR-S,Santa Fe
2008,17.8147477252986,Santa Fe,0.883373828916793,AR-S,AR-S,Santa Fe
2009,11.982300976616,Santa Fe,0.742133500556554,AR-S,AR-S,Santa Fe
2010,12.4707394696509,Santa Fe,0.751858458147928,AR-S,AR-S,Santa Fe
2011,13.2572417598047,Santa Fe,0.759622651000803,AR-S,AR-S,Santa Fe
2012,14.174341335831,Santa Fe,0.807400939860141,AR-S,AR-S,Santa Fe
2013,20.3283616173118,Santa Fe,0.942229199600157,AR-S,AR-S,Santa Fe
2014,20.7674547030417,Santa Fe,0.950717133815697,AR-S,AR-S,Santa Fe
2015,21.1785759266888,Santa Fe,0.945746864157458,AR-S,AR-S,Santa Fe
2016,21.1104293803194,Santa Fe,0.943986476337173,AR-S,AR-S,Santa Fe
2017,26.2947890728963,Santa Fe,1.02873453453082,AR-S,AR-S,Santa Fe
2018,28.4562386788578,Santa Fe,1.05604251841767,AR-S,AR-S,Santa Fe
2019,24.1253435707486,Santa Fe,0.995797299704959,AR-S,AR-S,Santa Fe
2020,18.4754499664234,Santa Fe,0.915894791660722,AR-S,AR-S,Santa Fe
2021,23.8821038424833,Santa Fe,0.994358737687208,AR-S,AR-S,Santa Fe
2022,24.8856073997404,Santa Fe,1.01528377364476,AR-S,AR-S,Santa Fe
2023,22.3264882010187,Santa Fe,0.973621365033973,AR-S,AR-S,Santa Fe
2004,199.060667138066,Tierra del Fuego,13.7997416993661,AR-V,AR-V,Tierra del Fuego
2005,183.146588293138,Tierra del Fuego,13.7536595057708,AR-V,AR-V,Tierra del Fuego
2006,235.629767237418,Tierra del Fuego,11.0566751347098,AR-V,AR-V,Tierra del Fuego
2007,211.556322390821,Tierra del Fuego,11.0477022802541,AR-V,AR-V,Tierra del Fuego
2008,234.553476876332,Tierra del Fuego,11.6307233842975,AR-V,AR-V,Tierra del Fuego
2009,209.177262307045,Tierra del Fuego,12.9555628936142,AR-V,AR-V,Tierra del Fuego
2010,195.238166844488,Tierra del Fuego,11.7708711221624,AR-V,AR-V,Tierra del Fuego
2011,174.164138524603,Tierra del Fuego,9.97937783834147,AR-V,AR-V,Tierra del Fuego
2012,187.842765369683,Tierra del Fuego,10.699927545982,AR-V,AR-V,Tierra del Fuego
2013,152.092716592031,Tierra del Fuego,7.04956952839145,AR-V,AR-V,Tierra del Fuego
2014,145.751551003006,Tierra del Fuego,6.67238709799495,AR-V,AR-V,Tierra del Fuego
2015,157.624691296488,Tierra del Fuego,7.03886125410267,AR-V,AR-V,Tierra del Fuego
2016,138.273318057678,Tierra del Fuego,6.18311167116303,AR-V,AR-V,Tierra del Fuego
2017,139.435581812645,Tierra del Fuego,5.45515683565304,AR-V,AR-V,Tierra del Fuego
2018,162.446304088474,Tierra del Fuego,6.02856217271933,AR-V,AR-V,Tierra del Fuego
2019,149.156430092428,Tierra del Fuego,6.15657844971626,AR-V,AR-V,Tierra del Fuego
2020,143.343346207809,Tierra del Fuego,7.10604745484138,AR-V,AR-V,Tierra del Fuego
2021,155.93065147358,Tierra del Fuego,6.49235120945237,AR-V,AR-V,Tierra del Fuego
2022,149.685354435974,Tierra del Fuego,6.10686767937572,AR-V,AR-V,Tierra del Fuego
2023,113.97766756889,Tierra del Fuego,4.97037829159123,AR-V,AR-V,Tierra del Fuego
