anio,iso3,pib_per_capita,cambio_relativo,geocodigoFundar,geonombreFundar
1926,ARG,6366.0,3.00125707102451,ARG,Argentina
1927,ARG,6625.0,3.16404776869893,ARG,Argentina
1928,ARG,6840.0,3.29918290383407,ARG,Argentina
1929,ARG,6961.0,3.3752357008171,ARG,Argentina
1930,ARG,6503.0,3.08736643620365,ARG,Argentina
1931,ARG,5917.0,2.71904462602137,ARG,Argentina
1932,ARG,5614.0,2.52859836580767,ARG,Argentina
1933,ARG,5772.0,2.62790697674419,ARG,Argentina
1934,ARG,6129.0,2.85229415461974,ARG,Argentina
1935,ARG,6296.0,2.95725958516656,ARG,Argentina
1936,ARG,6236.0,2.91954745443118,ARG,Argentina
1937,ARG,6575.0,3.13262099308611,ARG,Argentina
1938,ARG,6491.0,3.07982401005657,ARG,Argentina
1939,ARG,6612.0,3.1558768070396,ARG,Argentina
1940,ARG,6633.0,3.16907605279698,ARG,Argentina
1941,ARG,6861.0,3.31238214959145,ARG,Argentina
1942,ARG,6829.0,3.29226901319925,ARG,Argentina
1943,ARG,6666.0,3.18981772470145,ARG,Argentina
1944,ARG,7299.0,3.58768070395977,ARG,Argentina
1945,ARG,6943.0,3.36392206159648,ARG,Argentina
1946,ARG,7436.0,3.67379006913891,ARG,Argentina
1947,ARG,8112.0,4.09868007542426,ARG,Argentina
1948,ARG,8372.0,4.26209930861094,ARG,Argentina
1949,ARG,8045.0,4.05656819610308,ARG,Argentina
1950,ARG,7949.0,3.99622878692646,ARG,Argentina
1951,ARG,8086.0,4.08233815210559,ARG,Argentina
1952,ARG,7519.0,3.72595851665619,ARG,Argentina
1953,ARG,7769.0,3.8830923947203,ARG,Argentina
1954,ARG,7938.0,3.98931489629164,ARG,Argentina
1955,ARG,8348.0,4.24701445631678,ARG,Argentina
1956,ARG,8424.0,4.29478315524827,ARG,Argentina
1957,ARG,8705.0,4.47140163419233,ARG,Argentina
1958,ARG,9083.0,4.70898805782527,ARG,Argentina
1959,ARG,8354.0,4.25078566939032,ARG,Argentina
1960,ARG,8861.0,4.56945317410434,ARG,Argentina
1961,ARG,9344.0,4.8730358265242,ARG,Argentina
1962,ARG,9049.0,4.68761785040855,ARG,Argentina
1963,ARG,8695.0,4.46511627906977,ARG,Argentina
1964,ARG,9446.0,4.93714644877436,ARG,Argentina
1965,ARG,10155.0,5.38277812696417,ARG,Argentina
1966,ARG,10076.0,5.33312382149591,ARG,Argentina
1967,ARG,10200.0,5.41106222501571,ARG,Argentina
1968,ARG,10485.0,5.5901948460088,ARG,Argentina
1969,ARG,11217.0,6.05028284098052,ARG,Argentina
1970,ARG,11639.0,6.31552482715273,ARG,Argentina
1971,ARG,12003.0,6.54431175361408,ARG,Argentina
1972,ARG,12170.0,6.6492771841609,ARG,Argentina
1973,ARG,12691.0,6.97674418604651,ARG,Argentina
1974,ARG,13284.0,7.34946574481458,ARG,Argentina
1975,ARG,12946.0,7.1370207416719,ARG,Argentina
1976,ARG,12696.0,6.97988686360779,ARG,Argentina
1977,ARG,13236.0,7.31929604022627,ARG,Argentina
1978,ARG,12444.0,6.82149591451917,ARG,Argentina
1979,ARG,13114.0,7.24261470773099,ARG,Argentina
1980,ARG,13080.0,7.22124450031427,ARG,Argentina
1981,ARG,12125.0,6.62099308610937,ARG,Argentina
1982,ARG,11550.0,6.25958516656191,ARG,Argentina
1983,ARG,11775.0,6.40100565681961,ARG,Argentina
1984,ARG,11837.0,6.43997485857951,ARG,Argentina
1985,ARG,10895.0,5.84789440603394,ARG,Argentina
1986,ARG,11515.0,6.23758642363294,ARG,Argentina
1987,ARG,11633.0,6.3117536140792,ARG,Argentina
1988,ARG,11244.0,6.06725329981144,ARG,Argentina
1989,ARG,10393.0,5.53236957888121,ARG,Argentina
1990,ARG,10254.0,5.44500314267756,ARG,Argentina
1991,ARG,11223.9846365402,6.05467293308626,ARG,Argentina
1992,ARG,12267.0835867812,6.71029766611011,ARG,Argentina
1993,ARG,12926.7946652176,7.12494950673642,ARG,Argentina
1994,ARG,13571.379431201,7.53009392281646,ARG,Argentina
1995,ARG,13086.0364515543,7.22503862448417,ARG,Argentina
1996,ARG,13715.2268187077,7.62050711420977,ARG,Argentina
1997,ARG,14722.6459400365,8.2537058076911,ARG,Argentina
1998,ARG,15185.9586884861,8.54491432337281,ARG,Argentina
1999,ARG,14577.8322730293,8.16268527531698,ARG,Argentina
2000,ARG,14368.9427373623,8.0313907840115,ARG,Argentina
2001,ARG,13651.980987935,7.58075486356695,ARG,Argentina
2002,ARG,12094.7728377935,6.60199424122784,ARG,Argentina
2003,ARG,13088.5650108326,7.2266279137854,ARG,Argentina
2004,ARG,14183.225137777,7.91466067742112,ARG,Argentina
2005,ARG,15344.1571340567,8.6443476643977,ARG,Argentina
2006,ARG,16490.4735815761,9.36484825994725,ARG,Argentina
2007,ARG,17891.9434108489,10.2457218170012,ARG,Argentina
2008,ARG,18520.3040835795,10.6406688143177,ARG,Argentina
2009,ARG,17328.97575242,9.8918766514268,ARG,Argentina
2010,ARG,18979.9917029921,10.9295988076631,ARG,Argentina
2011,ARG,20003.0,11.5725958516656,ARG,Argentina
2012,ARG,19573.9631854518,11.3029309776567,ARG,Argentina
2013,ARG,19821.6424799123,11.4586062098757,ARG,Argentina
2014,ARG,19112.2329000231,11.0127170961804,ARG,Argentina
2015,ARG,19423.6669777037,11.2084644737295,ARG,Argentina
2016,ARG,18819.6428869525,10.828813882434,ARG,Argentina
2017,ARG,19150.5204834216,11.0367822020249,ARG,Argentina
2018,ARG,18460.8690085816,10.6033117590079,ARG,Argentina
2019,ARG,17912.6357651773,10.2587276965288,ARG,Argentina
2020,ARG,15975.8387725535,9.04138200663328,ARG,Argentina
2021,ARG,17470.6824151873,9.98094432129936,ARG,Argentina
2022,ARG,18292.3178246598,10.4973713542802,ARG,Argentina
1820,AUS,826.0,0.0,AUS,Australia
1821,AUS,834.0,0.0096852300242131,AUS,Australia
1822,AUS,858.0,0.0387409200968523,AUS,Australia
1823,AUS,886.0,0.0726392251815982,AUS,Australia
1824,AUS,936.0,0.13317191283293,AUS,Australia
1825,AUS,982.0,0.188861985472155,AUS,Australia
1826,AUS,999.0,0.209443099273608,AUS,Australia
1827,AUS,1030.0,0.246973365617433,AUS,Australia
1828,AUS,1057.0,0.279661016949152,AUS,Australia
1829,AUS,1114.0,0.348668280871671,AUS,Australia
1830,AUS,1352.0,0.63680387409201,AUS,Australia
1831,AUS,1398.0,0.692493946731235,AUS,Australia
1832,AUS,1428.0,0.728813559322034,AUS,Australia
1833,AUS,1435.0,0.73728813559322,AUS,Australia
1834,AUS,1508.0,0.825665859564165,AUS,Australia
1835,AUS,1825.0,1.20944309927361,AUS,Australia
1836,AUS,1793.0,1.17070217917676,AUS,Australia
1837,AUS,1881.0,1.2772397094431,AUS,Australia
1838,AUS,1857.0,1.24818401937046,AUS,Australia
1839,AUS,1733.0,1.09806295399516,AUS,Australia
1840,AUS,2190.0,1.65133171912833,AUS,Australia
1841,AUS,1868.0,1.26150121065375,AUS,Australia
1842,AUS,1704.0,1.06295399515739,AUS,Australia
1843,AUS,1975.0,1.3910411622276,AUS,Australia
1844,AUS,2246.0,1.71912832929782,AUS,Australia
1845,AUS,2310.0,1.79661016949153,AUS,Australia
1846,AUS,2554.0,2.09200968523002,AUS,Australia
1847,AUS,2954.0,2.57627118644068,AUS,Australia
1848,AUS,3381.0,3.09322033898305,AUS,Australia
1849,AUS,3339.0,3.04237288135593,AUS,Australia
1850,AUS,3148.0,2.81113801452784,AUS,Australia
1851,AUS,3736.0,3.52300242130751,AUS,Australia
1852,AUS,4382.0,4.30508474576271,AUS,Australia
1853,AUS,4798.0,4.80871670702179,AUS,Australia
1854,AUS,4202.0,4.08716707021792,AUS,Australia
1855,AUS,3988.0,3.82808716707022,AUS,Australia
1856,AUS,4866.0,4.8910411622276,AUS,Australia
1857,AUS,4294.0,4.19854721549637,AUS,Australia
1858,AUS,3661.0,3.43220338983051,AUS,Australia
1859,AUS,4728.0,4.72397094430993,AUS,Australia
1860,AUS,4613.0,4.58474576271186,AUS,Australia
1861,AUS,4544.0,4.50121065375303,AUS,Australia
1862,AUS,4368.0,4.28813559322034,AUS,Australia
1863,AUS,4352.0,4.26876513317191,AUS,Australia
1864,AUS,4616.0,4.58837772397094,AUS,Australia
1865,AUS,4403.0,4.33050847457627,AUS,Australia
1866,AUS,4532.0,4.48668280871671,AUS,Australia
1867,AUS,4956.0,5.0,AUS,Australia
1868,AUS,5031.0,5.090799031477,AUS,Australia
1869,AUS,4932.0,4.97094430992736,AUS,Australia
1870,AUS,5217.0,5.31598062953995,AUS,Australia
1871,AUS,5259.0,5.36682808716707,AUS,Australia
1872,AUS,5663.0,5.85593220338983,AUS,Australia
1873,AUS,6095.0,6.37893462469734,AUS,Australia
1874,AUS,6113.0,6.40072639225182,AUS,Australia
1875,AUS,6596.0,6.98547215496368,AUS,Australia
1876,AUS,6387.0,6.73244552058111,AUS,Australia
1877,AUS,6433.0,6.78813559322034,AUS,Australia
1878,AUS,6817.0,7.25302663438257,AUS,Australia
1879,AUS,6703.0,7.11501210653753,AUS,Australia
1880,AUS,6830.0,7.26876513317191,AUS,Australia
1881,AUS,7101.0,7.59685230024213,AUS,Australia
1882,AUS,6476.0,6.84019370460048,AUS,Australia
1883,AUS,7133.0,7.63559322033898,AUS,Australia
1884,AUS,6861.0,7.30629539951574,AUS,Australia
1885,AUS,7049.0,7.53389830508475,AUS,Australia
1886,AUS,6900.0,7.35351089588378,AUS,Australia
1887,AUS,7383.0,7.93825665859564,AUS,Australia
1888,AUS,7179.0,7.69128329297821,AUS,Australia
1889,AUS,7567.0,8.16101694915254,AUS,Australia
1890,AUS,7106.0,7.60290556900726,AUS,Australia
1891,AUS,7438.0,8.00484261501211,AUS,Australia
1892,AUS,6368.0,6.70944309927361,AUS,Australia
1893,AUS,5910.0,6.15496368038741,AUS,Australia
1894,AUS,6003.0,6.26755447941889,AUS,Australia
1895,AUS,5558.0,5.72881355932203,AUS,Australia
1896,AUS,5874.0,6.11138014527845,AUS,Australia
1897,AUS,5451.0,5.59927360774818,AUS,Australia
1898,AUS,6202.0,6.50847457627119,AUS,Australia
1899,AUS,6121.0,6.41041162227603,AUS,Australia
1900,AUS,6397.0,6.74455205811138,AUS,Australia
1901,AUS,6119.0,6.40799031476998,AUS,Australia
1902,AUS,6094.0,6.37772397094431,AUS,Australia
1903,AUS,6497.0,6.86561743341404,AUS,Australia
1904,AUS,6846.0,7.28813559322034,AUS,Australia
1905,AUS,6825.0,7.26271186440678,AUS,Australia
1906,AUS,7184.0,7.69733656174334,AUS,Australia
1907,AUS,7358.0,7.90799031476998,AUS,Australia
1908,AUS,7481.0,8.05690072639225,AUS,Australia
1909,AUS,7940.0,8.61259079903148,AUS,Australia
1910,AUS,8305.0,9.0544794188862,AUS,Australia
1911,AUS,8136.0,8.8498789346247,AUS,Australia
1912,AUS,8126.0,8.83777239709443,AUS,Australia
1913,AUS,8220.0,8.95157384987894,AUS,Australia
1914,AUS,8013.0,8.70096852300242,AUS,Australia
1915,AUS,7806.0,8.45036319612591,AUS,Australia
1916,AUS,7775.0,8.41283292978208,AUS,Australia
1917,AUS,7637.0,8.24576271186441,AUS,Australia
1918,AUS,7336.0,7.88135593220339,AUS,Australia
1919,AUS,7517.0,8.10048426150121,AUS,Australia
1920,AUS,7597.0,8.19733656174334,AUS,Australia
1921,AUS,7828.0,8.47699757869249,AUS,Australia
1922,AUS,8072.0,8.77239709443099,AUS,Australia
1923,AUS,8276.0,9.01937046004843,AUS,Australia
1924,AUS,8635.0,9.45399515738499,AUS,Australia
1925,AUS,8851.0,9.71549636803874,AUS,Australia
1926,AUS,8883.0,9.75423728813559,AUS,Australia
1927,AUS,8837.0,9.69854721549637,AUS,Australia
1928,AUS,8690.0,9.52058111380145,AUS,Australia
1929,AUS,8389.0,9.15617433414044,AUS,Australia
1930,AUS,7504.0,8.08474576271187,AUS,Australia
1931,AUS,6940.0,7.40193704600484,AUS,Australia
1932,AUS,7275.0,7.80750605326877,AUS,Australia
1933,AUS,7718.0,8.34382566585956,AUS,Australia
1934,AUS,8066.0,8.76513317191283,AUS,Australia
1935,AUS,8477.0,9.26271186440678,AUS,Australia
1936,AUS,8792.0,9.64406779661017,AUS,Australia
1937,AUS,9159.0,10.0883777239709,AUS,Australia
1938,AUS,9382.0,10.3583535108959,AUS,Australia
1939,AUS,9318.0,10.2808716707022,AUS,Australia
1940,AUS,9828.0,10.8983050847458,AUS,Australia
1941,AUS,10820.0,12.0992736077482,AUS,Australia
1942,AUS,11963.0,13.4830508474576,AUS,Australia
1943,AUS,12278.0,13.864406779661,AUS,Australia
1944,AUS,11735.0,13.2070217917676,AUS,Australia
1945,AUS,11026.0,12.3486682808717,AUS,Australia
1946,AUS,10512.0,11.726392251816,AUS,Australia
1947,AUS,10622.0,11.8595641646489,AUS,Australia
1948,AUS,11105.0,12.4443099273608,AUS,Australia
1949,AUS,11536.0,12.9661016949153,AUS,Australia
1950,AUS,11815.0,13.3038740920097,AUS,Australia
1951,AUS,11966.0,13.4866828087167,AUS,Australia
1952,AUS,11824.0,13.3147699757869,AUS,Australia
1953,AUS,11963.0,13.4830508474576,AUS,Australia
1954,AUS,12419.0,14.0351089588378,AUS,Australia
1955,AUS,12795.0,14.4903147699758,AUS,Australia
1956,AUS,12924.0,14.6464891041162,AUS,Australia
1957,AUS,12895.0,14.6113801452785,AUS,Australia
1958,AUS,13238.0,15.0266343825666,AUS,Australia
1959,AUS,13753.0,15.6501210653753,AUS,Australia
1960,AUS,14013.0,15.9648910411622,AUS,Australia
1961,AUS,13793.0,15.6985472154964,AUS,Australia
1962,AUS,14389.0,16.4200968523002,AUS,Australia
1963,AUS,14983.0,17.1392251815981,AUS,Australia
1964,AUS,15699.0,18.0060532687651,AUS,Australia
1965,AUS,16182.0,18.590799031477,AUS,Australia
1966,AUS,16324.0,18.7627118644068,AUS,Australia
1967,AUS,17108.0,19.7118644067797,AUS,Australia
1968,AUS,17770.0,20.5133171912833,AUS,Australia
1969,AUS,18428.0,21.3099273607748,AUS,Australia
1970,AUS,19166.0,22.2033898305085,AUS,Australia
1971,AUS,19590.0,22.7167070217918,AUS,Australia
1972,AUS,19772.0,22.9370460048426,AUS,Australia
1973,AUS,20527.0,23.8510895883777,AUS,Australia
1974,AUS,20698.0,24.0581113801453,AUS,Australia
1975,AUS,20993.0,24.4152542372881,AUS,Australia
1976,AUS,21613.0,25.1658595641646,AUS,Australia
1977,AUS,21592.0,25.1404358353511,AUS,Australia
1978,AUS,21948.0,25.5714285714286,AUS,Australia
1979,AUS,22826.0,26.634382566586,AUS,Australia
1980,AUS,22972.0,26.8111380145278,AUS,Australia
1981,AUS,23368.0,27.2905569007264,AUS,Australia
1982,AUS,22972.0,26.8111380145278,AUS,Australia
1983,AUS,22697.0,26.4782082324455,AUS,Australia
1984,AUS,24009.0,28.0665859564165,AUS,Australia
1985,AUS,24927.0,29.1779661016949,AUS,Australia
1986,AUS,25116.0,29.4067796610169,AUS,Australia
1987,AUS,25971.0,30.4418886198547,AUS,Australia
1988,AUS,26702.0,31.3268765133172,AUS,Australia
1989,AUS,27407.0,32.180387409201,AUS,Australia
1990,AUS,27373.0,32.1392251815981,AUS,Australia
1991,AUS,26861.2749592856,31.5197033405395,AUS,Australia
1992,AUS,27560.1782773384,32.3658332655428,AUS,Australia
1993,AUS,28622.4757584582,33.6519076978913,AUS,Australia
1994,AUS,29844.1713244349,35.130958019897,AUS,Australia
1995,AUS,30690.0624398521,36.1550392734287,AUS,Australia
1996,AUS,31740.4697474047,37.4267188225239,AUS,Australia
1997,AUS,32857.9937806025,38.7796534874123,AUS,Australia
1998,AUS,34337.139432097,40.5703867216671,AUS,Australia
1999,AUS,35551.0195059737,42.0399751888301,AUS,Australia
2000,AUS,36603.0449959447,43.3136137965432,AUS,Australia
2001,AUS,37275.9912489095,44.1283187032803,AUS,Australia
2002,AUS,38567.0654883377,45.69136257668,AUS,Australia
2003,AUS,39523.6551974459,46.8494614981186,AUS,Australia
2004,AUS,40887.725336397,48.5008781312313,AUS,Australia
2005,AUS,41904.4458707113,49.7317746618781,AUS,Australia
2006,AUS,42650.9859308496,50.6355761874693,AUS,Australia
2007,AUS,44033.5837617713,52.309423440401,AUS,Australia
2008,AUS,44421.6404707281,52.7792257514868,AUS,Australia
2009,AUS,44686.541383463,53.0999290356695,AUS,Australia
2010,AUS,45400.2233987967,53.9639508460009,AUS,Australia
2011,AUS,46132.0,54.8498789346247,AUS,Australia
2012,AUS,47045.1294679427,55.9553625519887,AUS,Australia
2013,AUS,47260.9548315436,56.2166523384306,AUS,Australia
2014,AUS,47753.8457765661,56.8133726108549,AUS,Australia
2015,AUS,48145.5309992905,57.2875677957512,AUS,Australia
2016,AUS,48675.1353283578,57.9287352643557,AUS,Australia
2017,AUS,49001.9004397101,58.3243346727725,AUS,Australia
2018,AUS,49614.3859762769,59.0658425862916,AUS,Australia
2019,AUS,49814.6699559703,59.3083171379786,AUS,Australia
2020,AUS,48268.9450765119,57.4369795115156,AUS,Australia
2021,AUS,50704.934853449,60.3861196772991,AUS,Australia
2022,AUS,52049.427952179,62.0138352931949,AUS,Australia
1820,AUT,1941.0,0.0,AUT,Austria
1830,AUT,2230.0,0.148892323544565,AUT,Austria
1840,AUT,2415.0,0.244204018547141,AUT,Austria
1850,AUT,2630.0,0.354971664090675,AUT,Austria
1860,AUT,2834.0,0.460072127769191,AUT,Austria
1870,AUT,2970.0,0.530139103554869,AUT,Austria
1871,AUT,3154.0,0.624935600206079,AUT,Austria
1872,AUT,3150.0,0.622874806800618,AUT,Austria
1873,AUT,3049.0,0.570839773312726,AUT,Austria
1874,AUT,3158.0,0.62699639361154,AUT,Austria
1875,AUT,3145.0,0.620298815043792,AUT,Austria
1876,AUT,3188.0,0.642452344152499,AUT,Austria
1877,AUT,3268.0,0.683668212261721,AUT,Austria
1878,AUT,3347.0,0.724368882019577,AUT,Austria
1879,AUT,3296.0,0.698093766099948,AUT,Austria
1880,AUT,3314.0,0.707367336424523,AUT,Austria
1881,AUT,3419.0,0.761463163317877,AUT,Austria
1882,AUT,3411.0,0.757341576506955,AUT,Austria
1883,AUT,3521.0,0.814013395157136,AUT,Austria
1884,AUT,3583.0,0.845955692941783,AUT,Austria
1885,AUT,3531.0,0.819165378670788,AUT,Austria
1886,AUT,3615.0,0.862442040185471,AUT,Austria
1887,AUT,3832.0,0.974240082431736,AUT,Austria
1888,AUT,3792.0,0.953632148377125,AUT,Austria
1889,AUT,3725.0,0.919113858835652,AUT,Austria
1890,AUT,3894.0,1.00618238021638,AUT,Austria
1891,AUT,3995.0,1.05821741370428,AUT,Austria
1892,AUT,4041.0,1.08191653786708,AUT,Austria
1893,AUT,4025.0,1.07367336424523,AUT,Austria
1894,AUT,4216.0,1.172076249356,AUT,Austria
1895,AUT,4285.0,1.20762493560021,AUT,Austria
1896,AUT,4305.0,1.21792890262751,AUT,Austria
1897,AUT,4352.0,1.24214322514168,AUT,Austria
1898,AUT,4551.0,1.34466769706337,AUT,Austria
1899,AUT,4600.0,1.36991241628027,AUT,Austria
1900,AUT,4594.0,1.36682122617208,AUT,Austria
1901,AUT,4565.0,1.35188047398248,AUT,Austria
1902,AUT,4694.0,1.4183410613086,AUT,Austria
1903,AUT,4688.0,1.41524987120041,AUT,Austria
1904,AUT,4712.0,1.42761463163318,AUT,Austria
1905,AUT,4925.0,1.53735188047398,AUT,Austria
1906,AUT,5062.0,1.60793405461103,AUT,Austria
1907,AUT,5321.0,1.74137042761463,AUT,Austria
1908,AUT,5292.0,1.72642967542504,AUT,Austria
1909,AUT,5222.0,1.69036579082947,AUT,Austria
1910,AUT,5244.0,1.70170015455951,AUT,Austria
1911,AUT,5364.0,1.76352395672334,AUT,Austria
1912,AUT,5587.0,1.87841318907779,AUT,Austria
1913,AUT,5523.0,1.84544049459042,AUT,Austria
1914,AUT,4584.0,1.36166924265842,AUT,Austria
1915,AUT,4229.0,1.17877382792375,AUT,Austria
1916,AUT,4189.0,1.15816589386914,AUT,Austria
1917,AUT,4122.0,1.12364760432767,AUT,Austria
1918,AUT,4073.0,1.09840288511077,AUT,Austria
1919,AUT,3601.0,0.855229263266358,AUT,Austria
1920,AUT,3845.0,0.980937660999485,AUT,Austria
1921,AUT,4224.0,1.17619783616692,AUT,Austria
1922,AUT,4586.0,1.36269963936115,AUT,Austria
1923,AUT,4530.0,1.3338485316847,AUT,Austria
1924,AUT,5042.0,1.59763008758372,AUT,Austria
1925,AUT,5367.0,1.76506955177743,AUT,Austria
1926,AUT,5440.0,1.8026790314271,AUT,Austria
1927,AUT,5587.0,1.87841318907779,AUT,Austria
1928,AUT,5829.0,2.00309119010819,AUT,Austria
1929,AUT,5896.0,2.03760947964967,AUT,Austria
1930,AUT,5716.0,1.94487377640392,AUT,Austria
1931,AUT,5241.0,1.70015455950541,AUT,Austria
1932,AUT,4686.0,1.41421947449768,AUT,Austria
1933,AUT,4516.0,1.32663575476558,AUT,Austria
1934,AUT,4546.0,1.34209170530654,AUT,Austria
1935,AUT,4634.0,1.38742916022669,AUT,Austria
1936,AUT,4774.0,1.45955692941783,AUT,Austria
1937,AUT,5031.0,1.5919629057187,AUT,Austria
1938,AUT,5673.0,1.92272024729521,AUT,Austria
1939,AUT,6529.0,2.36373003606388,AUT,Austria
1940,AUT,6311.0,2.25141679546625,AUT,Austria
1941,AUT,6722.0,2.46316331787738,AUT,Austria
1942,AUT,6349.0,2.27099433281813,AUT,Austria
1943,AUT,6480.0,2.33848531684699,AUT,Austria
1944,AUT,6618.0,2.40958268933539,AUT,Austria
1945,AUT,2750.0,0.416795466254508,AUT,Austria
1946,AUT,3118.0,0.606388459556929,AUT,Austria
1947,AUT,3453.0,0.778979907264297,AUT,Austria
1948,AUT,4406.0,1.2699639361154,AUT,Austria
1949,AUT,5249.0,1.70427614631633,AUT,Austria
1950,AUT,5907.0,2.04327666151468,AUT,Austria
1951,AUT,6311.0,2.25141679546625,AUT,Austria
1952,AUT,6323.0,2.25759917568264,AUT,Austria
1953,AUT,6594.0,2.39721792890263,AUT,Austria
1954,AUT,7261.0,2.74085522926327,AUT,Austria
1955,AUT,8054.0,3.14940752189593,AUT,Austria
1956,AUT,8603.0,3.43225141679547,AUT,Austria
1957,AUT,9111.0,3.69397217928903,AUT,Austria
1958,AUT,9416.0,3.85110767645544,AUT,Austria
1959,AUT,9645.0,3.96908809891808,AUT,Austria
1960,AUT,10391.0,4.35342606903658,AUT,Austria
1961,AUT,10882.0,4.60638845955693,AUT,Austria
1962,AUT,11078.0,4.70736733642452,AUT,Austria
1963,AUT,11454.0,4.90108191653787,AUT,Austria
1964,AUT,12062.0,5.21432251416795,AUT,Austria
1965,AUT,12328.0,5.35136527563112,AUT,Austria
1966,AUT,12930.0,5.66151468315301,AUT,Austria
1967,AUT,13225.0,5.81349819680577,AUT,Austria
1968,AUT,13742.0,6.07985574446162,AUT,Austria
1969,AUT,14555.0,6.49871200412159,AUT,Austria
1970,AUT,15537.0,7.00463678516229,AUT,Austria
1971,AUT,16259.0,7.37660999484802,AUT,Austria
1972,AUT,17169.0,7.84544049459042,AUT,Austria
1973,AUT,17908.0,8.22617207624936,AUT,Austria
1974,AUT,18583.0,8.57393096342092,AUT,Austria
1975,AUT,18564.0,8.56414219474498,AUT,Austria
1976,AUT,19448.0,9.01957753735188,AUT,Austria
1977,AUT,20350.0,9.48428645028336,AUT,Austria
1978,AUT,20293.0,9.45492014425554,AUT,Austria
1979,AUT,21436.0,10.043791859866,AUT,Austria
1980,AUT,21932.0,10.2993302421432,AUT,Austria
1981,AUT,21866.0,10.2653271509531,AUT,Austria
1982,AUT,22254.0,10.4652241112828,AUT,Austria
1983,AUT,22944.0,10.8207109737249,AUT,Austria
1984,AUT,23016.0,10.8578052550232,AUT,Austria
1985,AUT,23514.0,11.1143740340031,AUT,Austria
1986,AUT,24039.0,11.3848531684699,AUT,Austria
1987,AUT,24409.0,11.575476558475,AUT,Austria
1988,AUT,25112.0,11.9376609994848,AUT,Austria
1989,AUT,26078.0,12.4353426069037,AUT,Austria
1990,AUT,26930.0,12.8742916022669,AUT,Austria
1991,AUT,27689.7712735808,13.2657245098304,AUT,Austria
1992,AUT,28072.4403464979,13.4628749853157,AUT,Austria
1993,AUT,28101.2286371651,13.4777066652061,AUT,Austria
1994,AUT,28780.7603897884,13.827800303858,AUT,Austria
1995,AUT,29621.6819241716,14.2610416919998,AUT,Austria
